ID Producto,SKU,Nombre,Descripcion,Tamano Unidad,Medida Unidad,ID Presentación,Unidades por Paquete,Unidades por Presentación,Costo por Paquete,Costo Unitario,Moneda,ID Barcode,Codigo de Barras,Precio de Venta
271,ELL-TOA-DUO-1-UND-386F,"Toallas Ellas Duo, 1 X 2","Toallas Ellas Duo, 1 X 2",2.00,UND,287,24,24,"94000,00",3958.33,COP,144,7702108850794,97000
284,NES-CHO-SAV-1-UND-E2C3,"Chocolate Savoy Leche, 30 gr X 12","Chocolate Savoy Leche, 30 gr X 12",12.00,UND,300,1,1,"12,11",12.11,USD,226,7591016151136,36000
285,NES-CHO-CRI-CRI-1-UND-CAFE,"Chocolate Savoy Cri Cri, 130 gr X 5 ","Chocolate Savoy Cri Cri, 130 gr X 5 ",5.00,UND,301,1,1,"16,82",16.82,USD,236,7591016151600,45000
286,NES-CHO-GAL-1-UND-2040,"Chocolate Savoy Galak, 30 gr X 12 ","Chocolate Savoy Galak, 30 gr X 12 ",12.00,UND,302,1,1,"12,11",12.11,USD,229,7591016154977,36000
287,NES-CHO-CRI-CRI-1-UND-98E9,"Chocolate Savoy Cri Cri, 30 gr X 12","Chocolate Savoy Cri Cri, 30 gr X 12",12.00,UND,303,1,1,"12,11",12.11,USD,228,7591016151556,36000
288,NES-CHO-GAL-G-1-UND-F0FC,"Chocolate Savoy Galak, 130 gr X 5 ","Chocolate Savoy Galak, 130 gr X 5 ",5.00,UND,304,1,1,"16,82",16.82,USD,230,7591016154960,45000
292,NES-LEC-CON-SAS-1-UND-9B8C,"Leche Condensada Nestle Sashet, 1 X 26","Leche Condensada Nestle Sashet, 1 X 26",26.00,UND,308,1,1,"7,80",7.80,USD,235,7702024915584,25000
293,NES-LEC-EVA-CAR-1-UND-F6D6,"Leche Evaporada Carnation, 385 gr","Leche Evaporada Carnation, 385 gr",385.00,GR,309,48,48,"130,08",3750.00,USD,296,7613036653404,384000
297,PUI-PIR-LAT-1-UND-DE29,"Pirulin Lata, 155gr","Pirulin Lata, 155gr",155.00,GR,313,12,12,"54,15",4.51,USD,114,7591675000424,156000
299,PUI-PIR-LAT-1-UND-6560,"Pirulin Lata, 300 gr","Pirulin Lata, 300 gr",300.00,GR,315,12,12,"100,00",8.33,USD,112,7591675010508,276000
